,Unnamed: 0,函数,稀疏性,运算,接口,时间(s),精度,时间bt,精度bt,时间比,精度比,Issue,Type
60,25,vecnorm,dense,Col,"N=vecnorm(V,Inf,2)",0.008264,Error,0.012146,Error,0.6803886053021572,,good,consist
61,26,vecnorm,sparse,Col,"N=vecnorm(V,Inf,2)",0.013439,Error,Error,Error,,,bt_err,INconsist
62,27,vecnorm,dense,Row,N=vecnorm(V),0.002314,Error,0.005845,Error,0.3958939264328486,,good,consist
63,28,vecnorm,sparse,Row,N=vecnorm(V),0.006076,Error,0.021802,Error,0.278690028437758,,good,consist
64,29,vecnorm,dense,Row,"N=vecnorm(V,1)",0.005774,Error,0.006009,Error,0.9608919953403229,,good,consist
65,30,vecnorm,sparse,Row,"N=vecnorm(V,1)",0.006641,Error,0.024019,Error,0.2764894458553645,,good,consist
66,31,vecnorm,dense,Row,"N=vecnorm(V,Inf)",0.005743,Error,0.005936,Error,0.9674865229110511,,good,consist
67,32,vecnorm,sparse,Row,"N=vecnorm(V,Inf)",0.008538,Error,Error,Error,,,bt_err,INconsist
68,33,vecnorm,dense,Row,"N=vecnorm(V,1,1)",0.007428,Error,0.005472,Error,1.3574561403508771,,good,consist
69,34,vecnorm,sparse,Row,"N=vecnorm(V,1,1)",0.009051,Error,Error,Error,,,bt_err,INconsist
70,35,vecnorm,dense,Row,"N=vecnorm(V,2,1)",0.007765,Error,0.005650,Error,1.3743362831858408,,good,consist
71,36,vecnorm,sparse,Row,"N=vecnorm(V,2,1)",0.008788,Error,Error,Error,,,bt_err,INconsist
72,37,vecnorm,dense,Row,"N=vecnorm(V,Inf,1)",0.007476,Error,0.006999,Error,1.0681525932276041,,good,consist
73,38,vecnorm,sparse,Row,"N=vecnorm(V,Inf,1)",0.010311,Error,Error,Error,,,bt_err,INconsist
74,39,vecnorm,dense,Row,"N=vecnorm(V,1,2)",0.005136,Error,0.009449,Error,0.5435495819663457,,good,consist
75,40,vecnorm,sparse,Row,"N=vecnorm(V,1,2)",0.006555,Error,Error,Error,,,bt_err,INconsist
76,41,vecnorm,dense,Row,"N=vecnorm(V,2,2)",0.003492,Error,0.009032,Error,0.38662533215234723,,good,consist
77,42,vecnorm,sparse,Row,"N=vecnorm(V,2,2)",0.004958,Error,Error,Error,,,bt_err,INconsist
78,43,vecnorm,dense,Row,"N=vecnorm(V,Inf,2)",0.005674,Error,0.006721,Error,0.844219610177057,,good,consist
79,44,vecnorm,sparse,Row,"N=vecnorm(V,Inf,2)",0.007220,Error,Error,Error,,,bt_err,INconsist
